Domain,Month,Level,Skill,Recommended Resource 1,Recommended Resource 2,Project
Machine Learning,1,Beginner,Python Basics,CS50 Python,Automate the Boring Stuff,Build a simple calculator
Machine Learning,2,Beginner,Data Analysis with Pandas,Data Science with Python,Python for Data Analysis,Analyze COVID-19 data
Machine Learning,5,Intermediate,Supervised Learning Advanced,StatQuest ML,Hands-On ML with Scikit-Learn,Build a classification model for customer churn
Machine Learning,6,Intermediate,Unsupervised Learning,Stanford ML Course,Hands-On ML with Scikit-Learn,Cluster customer segments
Machine Learning,7,Intermediate,Feature Engineering,Feature Engineering for ML,Applied ML in Python,Optimize model performance through feature selection
Machine Learning,8,Advanced,Deep Learning Fundamentals,Deep Learning Specialization,PyTorch Tutorials,Create an image classifier
Machine Learning,11,Advanced,Reinforcement Learning,RL Course by Hugging Face,Deep RL by OpenAI,Develop a game-playing AI
Machine Learning,12,Advanced,MLOps & Deployment,ML System Design,TFX Tutorials,Deploy and monitor a production ML system
Web Development,1,Beginner,HTML & CSS Basics,CS50 Web,HTML & CSS by Jon Duckett,Build a portfolio website
Web Development,2,Beginner,CSS Layouts & Responsive Design,CSS Grid by Wes Bos,Responsive Web Design,Create a responsive landing page
Web Development,3,Beginner,JavaScript Fundamentals,The Odin Project,Eloquent JavaScript,Build an interactive form
Web Development,5,Intermediate,JavaScript ES6+ Features,ES6 for Everyone,You Don't Know JS,Build a browser-based game
Web Development,7,Intermediate,React.js Advanced,Fullstack Open,React Patterns,Create a social media dashboard
Web Development,8,Intermediate,Backend Basics with Node.js,Node.js: The Complete Guide,Express.js Documentation,Build a REST API
Web Development,9,Advanced,Authentication & Authorization,OAuth 2.0 Simplified,JWT Handbook,Implement a secure login system
Web Development,11,Advanced,Full-Stack Development,Full Stack Open,MERN Stack Guide,Create an e-commerce platform
Web Development,12,Advanced,Deployment & DevOps,Docker for Developers,AWS for Frontend Engineers,Deploy a MERN app with CI/CD
Software Development,1,Beginner,Programming Fundamentals,CS50 Introduction to CS,Programming from the Ground Up,Solve algorithm challenges
Software Development,3,Beginner,Algorithms Basics,Intro to Algorithms,AlgoExpert,Implement sorting algorithms
